DeviceName,DeviceType,Serial Number,Product Number (PN),IP Address,Site,Total Interfaces,Up Links,Down Links,Access Port,UP Link Interfaces,Interface Types,Stack,Active PSU,Non Active PSU,Switch Topology,Switch Mode,PSU Count,PSU Model,Total Power Capacity,Power Output (W),Power Input (W),Energy Efficiency%,Power Consumption,Input Packets,Output Packets,RX (MB),TX (MB),Data Traffic Consumed (MB),Data Traffic Consumed (GB),Data Traffic Allocated (MB),Data Throughput per Watt (MB/W),DataTraffic Utilization%,Carbon Emission (kgCO₂),Carbon Emission (tonCO₂),HW End-of-Life (EoL),HW End-of-Support (EoS),HW Last Day of Support,HW Last Date of RFA,HW Security Support EoS,SW Maintenance EoL,SW Vulnerability Support EoS,Error Message,Carbon Emission (kgCO2)
JAS-SDNSF-OL-OOB-05,cisco_ios,FOC2207Z0H5,C9300-24T,10.250.100.51,JebelAli,45,10,35,24,"Vlan400, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/6, GigabitEthernet1/0/9, GigabitEthernet1/0/11, GigabitEthernet1/0/24, GigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-350WAC,700,5640,5640,100,9.0306,1370835,2783454,221.837,402.703,624.54,0.61,8550000,0.111,0.007305,2.2791,0.0023,,,,,,,,Successfully connected to device.,2.2791
JAS-SDNSF-DEV-OOB-05,cisco_ios,FOC2207Z0H1,C9300-24T,10.250.100.50,JebelAli,46,15,31,24,"Vlan400, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/24, GigabitEthernet1/1/1, AppGigabitEthernet1/0/1","3 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-350WAC,700,5640,5640,100,1.0323,2900243,7603466,1842.973,3620.373,5463.345,5.335,13050000,0.969,0.041865,2.2791,0.0023,,,,,,,,Successfully connected to device.,2.2791
JA_CH2_CCTV_BLDG7501_SW1,cisco_ios,FOC2043U19D,WS-C3850-24S,10.20.100.13,JebelAli,51,28,23,24,"Vlan100, Vlan200, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/24, Port-channel1, Port-channel2, Port-channel3, Port-channel4, Port-channel5, Port-channel6, Port-channel7, Port-channel8, Port-channel9, Port-channel10, Port-channel11, Port-channel12","3 Virtual, 28 Gigabit, 4 TenGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-350WAC,700,4800,4800,100,0.0012,2643601055,2536911359,2331113.249,1721390.96,4052504.21,3957.524,24300000,844.272,16.676972,1.9397,0.0019,,,,,,,,Successfully connected to device.,1.9397
JA_CH1_CCTV_BLDG734_SW1,cisco_ios,FOC2043U1C6,WS-C3850-24S,10.10.100.50,JebelAli,51,17,34,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/24, Port-channel1, Port-channel2, Port-channel3, Port-channel4, Port-channel6, Port-channel7, Port-channel15, Port-channel16","2 Virtual, 28 Gigabit, 4 TenGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-350WAC,700,4800,4800,100,5.3562,1809133,4288195,311.597,584.563,896.16,0.875,14850000,0.187,0.006035,1.9397,0.0019,,,,,,,,Successfully connected to device.,1.9397
TDC-MGMT,cisco_ios,FCW2236L0FZ,C9300-24T,10.60.100.225,JebelAli,44,5,39,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/24, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-350WAC,700,5640,6480,87.04,1.1937,4266675,6394840,2257.594,3170.833,5428.427,5.301,4050000,0.838,0.134035,2.2791,0.0023,,,,,,,,Successfully connected to device.,2.6186
JACORPOL-FSB,cisco_ios,FGE22164EG0,C6807-XL,10.0.100.2,JebelAli,179,99,80,880,"TenGigabitEthernet1/1/2, TenGigabitEthernet1/1/3, TenGigabitEthernet1/1/5, TenGigabitEthernet1/1/6, TenGigabitEthernet1/1/7, TenGigabitEthernet1/1/8, TenGigabitEthernet1/1/10, TenGigabitEthernet1/1/11, TenGigabitEthernet1/1/13, TenGigabitEthernet1/1/15, TenGigabitEthernet1/1/16, TenGigabitEthernet1/1/19, TenGigabitEthernet1/1/20, TenGigabitEthernet1/1/21, TenGigabitEthernet1/1/22, TenGigabitEthernet1/1/23, TenGigabitEthernet1/1/25, TenGigabitEthernet1/1/29, TenGigabitEthernet1/1/30, TenGigabitEthernet1/1/31, TenGigabitEthernet1/1/32, TenGigabitEthernet1/2/1, TenGigabitEthernet1/2/2, TenGigabitEthernet1/2/5, TenGigabitEthernet1/2/7, TenGigabitEthernet1/2/10, TenGigabitEthernet1/2/11, TenGigabitEthernet1/2/12, TenGigabitEthernet1/2/13, TenGigabitEthernet1/2/21, TenGigabitEthernet1/2/22, TenGigabitEthernet1/2/23, TenGigabitEthernet1/2/25, TenGigabitEthernet1/2/32, TenGigabitEthernet1/3/1, TenGigabitEthernet1/3/2, TenGigabitEthernet1/3/3, TenGigabitEthernet1/3/4, TenGigabitEthernet2/1/1, TenGigabitEthernet2/1/2, TenGigabitEthernet2/1/3, TenGigabitEthernet2/1/4, TenGigabitEthernet2/1/6, TenGigabitEthernet2/1/7, TenGigabitEthernet2/1/8, TenGigabitEthernet2/1/10, TenGigabitEthernet2/1/13, TenGigabitEthernet2/1/15, TenGigabitEthernet2/1/16, TenGigabitEthernet2/1/19, TenGigabitEthernet2/1/20, TenGigabitEthernet2/1/21, TenGigabitEthernet2/1/22, TenGigabitEthernet2/1/27, TenGigabitEthernet2/1/29, TenGigabitEthernet2/1/30, TenGigabitEthernet2/1/32, TenGigabitEthernet2/2/1, TenGigabitEthernet2/2/2, TenGigabitEthernet2/2/3, TenGigabitEthernet2/2/4, TenGigabitEthernet2/2/5, TenGigabitEthernet2/2/7, TenGigabitEthernet2/2/10, TenGigabitEthernet2/2/11, TenGigabitEthernet2/2/13, TenGigabitEthernet2/2/21, TenGigabitEthernet2/2/22, TenGigabitEthernet2/2/25, TenGigabitEthernet2/2/27, TenGigabitEthernet2/2/32, TenGigabitEthernet2/3/1, TenGigabitEthernet2/3/2, TenGigabitEthernet2/3/3, TenGigabitEthernet2/3/4, Loopback0, Loopback100, Loopback101, Loopback110, Port-channel101, Port-channel102, Port-channel120, Port-channel121, Port-channel150, Port-channel200, Port-channel201, Port-channel202, Port-channel203, Port-channel300, Port-channel301, Port-channel302, Port-channel303, Port-channel304, Port-channel305, Port-channel310, Port-channel311, Port-channel400, Vlan316, Vlan900","3 Virtual, 144 TenGigabit, 4 FortyGigabit",FALSE,2,0,,,2,C6800-XL-3KW-AC,6000,49251,68997.24,71.38,0.0003,1.29544E+11,1.92973E+11,99130383.09,146701698.6,245832081.7,240070.392,1022400000,3562.926,24.044609,19.9024,0.0199,4/30/2021,4/30/2022,4/30/2027,4/30/2023,7/29/2026,4/30/2023,4/30/2027,Successfully connected to device.,27.8818
JACORPOL-FSB,cisco_ios,FGE22164EG0,C6807-XL,10.0.100.1,JebelAli,179,99,80,880,"TenGigabitEthernet1/1/2, TenGigabitEthernet1/1/3, TenGigabitEthernet1/1/5, TenGigabitEthernet1/1/6, TenGigabitEthernet1/1/7, TenGigabitEthernet1/1/8, TenGigabitEthernet1/1/10, TenGigabitEthernet1/1/11, TenGigabitEthernet1/1/13, TenGigabitEthernet1/1/15, TenGigabitEthernet1/1/16, TenGigabitEthernet1/1/19, TenGigabitEthernet1/1/20, TenGigabitEthernet1/1/21, TenGigabitEthernet1/1/22, TenGigabitEthernet1/1/23, TenGigabitEthernet1/1/25, TenGigabitEthernet1/1/29, TenGigabitEthernet1/1/30, TenGigabitEthernet1/1/31, TenGigabitEthernet1/1/32, TenGigabitEthernet1/2/1, TenGigabitEthernet1/2/2, TenGigabitEthernet1/2/5, TenGigabitEthernet1/2/7, TenGigabitEthernet1/2/10, TenGigabitEthernet1/2/11, TenGigabitEthernet1/2/12, TenGigabitEthernet1/2/13, TenGigabitEthernet1/2/21, TenGigabitEthernet1/2/22, TenGigabitEthernet1/2/23, TenGigabitEthernet1/2/25, TenGigabitEthernet1/2/32, TenGigabitEthernet1/3/1, TenGigabitEthernet1/3/2, TenGigabitEthernet1/3/3, TenGigabitEthernet1/3/4, TenGigabitEthernet2/1/1, TenGigabitEthernet2/1/2, TenGigabitEthernet2/1/3, TenGigabitEthernet2/1/4, TenGigabitEthernet2/1/6, TenGigabitEthernet2/1/7, TenGigabitEthernet2/1/8, TenGigabitEthernet2/1/10, TenGigabitEthernet2/1/13, TenGigabitEthernet2/1/15, TenGigabitEthernet2/1/16, TenGigabitEthernet2/1/19, TenGigabitEthernet2/1/20, TenGigabitEthernet2/1/21, TenGigabitEthernet2/1/22, TenGigabitEthernet2/1/27, TenGigabitEthernet2/1/29, TenGigabitEthernet2/1/30, TenGigabitEthernet2/1/32, TenGigabitEthernet2/2/1, TenGigabitEthernet2/2/2, TenGigabitEthernet2/2/3, TenGigabitEthernet2/2/4, TenGigabitEthernet2/2/5, TenGigabitEthernet2/2/7, TenGigabitEthernet2/2/10, TenGigabitEthernet2/2/11, TenGigabitEthernet2/2/13, TenGigabitEthernet2/2/21, TenGigabitEthernet2/2/22, TenGigabitEthernet2/2/25, TenGigabitEthernet2/2/27, TenGigabitEthernet2/2/32, TenGigabitEthernet2/3/1, TenGigabitEthernet2/3/2, TenGigabitEthernet2/3/3, TenGigabitEthernet2/3/4, Loopback0, Loopback100, Loopback101, Loopback110, Port-channel101, Port-channel102, Port-channel120, Port-channel121, Port-channel150, Port-channel200, Port-channel201, Port-channel202, Port-channel203, Port-channel300, Port-channel301, Port-channel302, Port-channel303, Port-channel304, Port-channel305, Port-channel310, Port-channel311, Port-channel400, Vlan316, Vlan900","3 Virtual, 144 TenGigabit, 4 FortyGigabit",FALSE,2,0,,,2,C6800-XL-3KW-AC,6000,49251,68997.24,71.38,0.0003,1.29531E+11,1.92952E+11,99119933.84,146685264.3,245805198.2,240044.139,1022400000,3562.537,24.041979,19.9024,0.0199,4/30/2021,4/30/2022,4/30/2027,4/30/2023,7/29/2026,4/30/2023,4/30/2027,Successfully connected to device.,27.8818
PL5.570CMB2.GF.A-ASW1,cisco_ios,FDO2047B0K2,WS-C2960XR-24PS-I,10.60.100.33,JebelAli,31,12,19,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/9, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25","2 Virtual, 28 Gigabit",FALSE,1,0,,,1,PWR-C2-640WAC,640,6000,9360,64.1,0.3748,26421525,26691967,12483.627,12491.471,24975.099,24.39,7029000,2.668,0.355315,2.4246,0.0024,10/31/2020,10/31/2022,10/31/2027,10/31/2023,1/29/2027,10/31/2023,10/31/2027,Successfully connected to device.,3.7824
SAPWR601MG01,cisco_ios,FDO1941B10H,WS-C2960XR-24PS-I,10.70.100.28,JebelAli,32,16,16,24,"Vlan100, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/14, GigabitEthernet1/0/18, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, Port-channel1","2 Virtual, 28 Gigabit",FALSE,1,0,,,1,PWR-C2-640WAC,640,6000,9360,64.1,0.0707,104635992,77144389,81116.167,51331.996,132448.163,129.344,13140000,14.15,1.007977,2.4246,0.0024,10/31/2020,10/31/2022,10/31/2027,10/31/2023,1/29/2027,10/31/2023,10/31/2027,Successfully connected to device.,3.7824
SABLD420G01,cisco_ios,FOC2232Z0Y7,C9300-48U,10.70.100.30,JebelAli,69,38,31,48,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/0/25, GigabitEthernet1/0/27, GigabitEthernet1/0/28, GigabitEthernet1/0/30, GigabitEthernet1/0/31, GigabitEthernet1/0/32, GigabitEthernet1/0/33, GigabitEthernet1/0/34, GigabitEthernet1/0/35, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/39, GigabitEthernet1/0/40, GigabitEthernet1/0/41, GigabitEthernet1/0/42, GigabitEthernet1/0/43, GigabitEthernet1/0/44, GigabitEthernet1/0/45, GigabitEthernet1/0/46, GigabitEthernet1/0/48, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 52 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-1100WAC,2200,3435,5832,58.9,0.0364,121528946,129716203,79750.49,80361.067,160111.558,156.359,23220000,27.454,0.689542,1.3881,0.0014,,,,,,,,Successfully connected to device.,2.3567
