Device Name,Device Type,Serial Number,Product Number (PN),IP Address,Site,Total Interfaces,Up Links,Down Links,Access Port,UP Link Interfaces,Interface Types,Stack,Active PSU,Non Active PSU,Switch Topology,Switch Mode,PSU Count,PSU Model,Total Power Capacity,Power Output (W),Power Input (W),Energy Efficiency%,Power Consumption,Input Packets,Output Packets,RX (MB),TX (MB),Data Traffic Consumed (MB),Data Traffic Consumed (GB),Data Traffic Allocated (MB),Data Throughput per Watt (MB/W),DataTraffic Utilization%,Carbon Emission (kgCO₂),Carbon Emission (tonCO₂),HW End-of-Life (EoL),HW End-of-Support (EoS),HW Last Day of Support,HW Last Date of RFA,HW Security Support EoS,SW Maintenance EoL,SW Vulnerability Support EoS,Error Message
6000-SWT-C020,cisco_ios,FCW2235C0JH,WS-C3850-12S-S,172.31.71.66,Al Taweelah,23,4,19,12,"Vlan99, GigabitEthernet1/0/1, GigabitEthernet1/0/4, TenGigabitEthernet1/1/4","2 Virtual, 16 Gigabit, 4 TenGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,4400,4400,100,20.1808,939052,1248889,98.068,119.961,218.029,0.213,11250000,0.05,0.001938,1.778,0.0018,4/30/2021,4/30/2022,4/30/2027,4/30/2023,7/29/2026,4/30/2023,4/30/2027,Successfully connected to device.
6000-SWT-C021,cisco_ios,FCW2235C0L7,WS-C3850-12S-S,172.31.71.67,Al Taweelah,23,5,18,12,"Vlan99, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/5, TenGigabitEthernet1/1/3","2 Virtual, 16 Gigabit, 4 TenGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-350WAC,700,4400,4400,100,14.8524,979942,1893996,118.08,178.168,296.248,0.289,12150000,0.067,0.002438,1.778,0.0018,4/30/2021,4/30/2022,4/30/2027,4/30/2023,7/29/2026,4/30/2023,4/30/2027,Successfully connected to device.
CCTV-PII-SW,cisco_ios,FCW2234C0WL,WS-C3850-12S-S,172.31.71.87,Al Taweelah,24,12,12,12,"Vlan99, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/11, TenGigabitEthernet1/1/3, TenGigabitEthernet1/1/4, Port-channel1","2 Virtual, 16 Gigabit, 4 TenGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-350WAC,700,4400,4400,100,7.0298,1968406,2908054,282.063,343.847,625.91,0.611,42759000,0.142,0.001464,1.778,0.0018,4/30/2021,4/30/2022,4/30/2027,4/30/2023,7/29/2026,4/30/2023,4/30/2027,Successfully connected to device.
Pro_Water_Dist,cisco_ios,FCW2052C062,WS-C3850-24P,172.31.182.45,Al Taweelah,35,6,29,24,"Vlan1, GigabitEthernet1/0/1, GigabitEthernet1/0/22, TenGigabitEthernet1/1/3, TenGigabitEthernet1/1/4, Port-channel29","28 Gigabit, 4 TenGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,20240,20240,100,1.2392,120426932,55133118,11354.606,4979.059,16333.665,15.951,37440000,0.807,0.043626,8.179,0.0082,,,,,,,,Successfully connected to device.
CEUAEPMOI4R1SW02,cisco_ios,FOC1913U0GY,WS-C3850-48P,172.31.27.113,Al Taweelah,60,12,48,48,"Vlan1000, GigabitEthernet1/0/7, GigabitEthernet1/0/11, GigabitEthernet1/0/13, GigabitEthernet1/0/15, GigabitEthernet1/0/17, GigabitEthernet1/0/19, GigabitEthernet1/0/37, GigabitEthernet1/0/38, GigabitEthernet1/0/43, GigabitEthernet1/0/48, GigabitEthernet1/1/1","2 Virtual, 52 Gigabit, 4 TenGigabit",FALSE,1,0,Standalone,Power sharing,1,PWR-C1-715WAC,715,15070,15070,100,1.1857,11134782,10637659,6478.289,6231.285,12709.574,12.412,7920000,0.843,0.160474,6.0898,0.0061,,,,,,,,Successfully connected to device.
ATA_WAREHOUSE_1,cisco_ios,FOC2052U0C2,WS-C3850-24P,172.31.182.49,Al Taweelah,44,13,31,24,"Vlan1, Vlan2, Vlan3, Vlan4, Vlan5, Vlan6, Vlan7, Vlan8, Vlan10, Vlan1000, GigabitEthernet1/1/1, TenGigabitEthernet1/1/4, Port-channel32","10 Virtual, 28 Gigabit, 4 TenGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,20240,20240,100,0.9869,163752261,54020437,15398.889,5108.801,20507.69,20.027,7200000,1.013,0.284829,8.179,0.0082,,,,,,,,Successfully connected to device.
MAIN_SS,cisco_ios,FOC2052X08G,WS-C3850-24P,172.31.182.44,Al Taweelah,36,8,28,24,"Vlan1, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/21, GigabitEthernet1/0/22, TenGigabitEthernet1/1/3, TenGigabitEthernet1/1/4, Port-channel28","2 Virtual, 28 Gigabit, 4 TenGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,20240,20240,100,0.9581,119095649,106464718,11393.515,9732.314,21125.828,20.631,39240000,1.044,0.053837,8.179,0.0082,,,,,,,,Successfully connected to device.
Preparatn_Area_Cool,cisco_ios,FCW2052D08E,WS-C3850-24P,172.31.182.41,Al Taweelah,36,8,28,24,"Vlan1, GigabitEthernet1/0/2, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/22, TenGigabitEthernet1/1/3, TenGigabitEthernet1/1/4, Port-channel25","2 Virtual, 28 Gigabit, 4 TenGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,20240,20240,100,0.9306,122187042,109039404,11560.667,10187.668,21748.334,21.239,38430000,1.075,0.056592,8.179,0.0082,,,,,,,,Successfully connected to device.
I-P_0038.3_GF-SW,cisco_ios,FCW2101D1JA,WS-C3850-48P,172.31.182.30,Al Taweelah,67,12,55,48,"Vlan1, Vlan2, Vlan3, Vlan4, Vlan5, Vlan6, Vlan7, Vlan8, Vlan10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/48","10 Virtual, 52 Gigabit, 4 TenGigabit",FALSE,1,1,Standalone,Power sharing,2,"PWR-C1-1100WAC,Unknown",1335,23540,23540,100,0.9015,123597494,73796227,16784.723,9328.131,26112.854,25.501,5859000,1.109,0.445688,9.5125,0.0095,,,,,,,,Successfully connected to device.
GIS-ACI-MGMT-SW,cisco_ios,FCW2236D0S6,C9300-24T,172.31.100.41,Al Taweelah,49,11,38,24,"Vlan600, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/3, Loopback0","3 Virtual, 28 Gigabit, 8 TenGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-350WAC,700,5280,5280,100,0.7173,15904579,6162040,4866.032,2495.04,7361.072,7.189,12150000,1.394,0.060585,2.1336,0.0021,,,,,,,,Successfully connected to device.
